date,unit_id,make,model,year,engine,mpghighway,mpgcity,tankSizeGallons,fuelcard_id,status,site_city,quantity,unit_of_measure,price,odometer,currency,site_state
"2024-04-14 01:25:32",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,16.102,G,62.78,80980,USD,NM
"2024-04-14 01:07:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.302,G,21.04,1,USD,NM
"2024-04-13 11:47:12",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,13.709,G,53.45,80823,USD,NM
"2024-04-12 01:18:45",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.358,G,21.36,1,USD,NM
"2024-04-12 00:43:28",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.976,G,75.49,80662,USD,NM
"2024-04-11 11:46:58",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.401,G,66.23,80508,USD,NM
"2024-04-10 11:37:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,15.278,G,54.99,80360,USD,NM
"2024-04-06 18:53:17",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.295,G,21.14,1,USD,NM
"2024-04-06 18:50:23",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.768,G,81.94,80182,USD,NM
"2024-04-06 12:53:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Seminole,24.491,G,88.14,103544,USD,TX
"2024-04-04 03:26:10",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,5.658,G,19.23,1,USD,NM
"2024-04-04 03:23:32",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.291,G,73.03,103222,USD,NM
"2024-04-03 11:43:31",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.483,G,77.32,103063,USD,NM
"2024-04-02 11:45:56",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,25.528,G,91.88,102898,USD,NM
"2024-03-31 21:00:31",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.07,G,22.19,1,USD,NM
"2024-03-31 20:58:21",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,16.376,G,58.94,102606,USD,NM
"2024-03-31 11:43:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.634,G,67.06,102471,USD,NM
"2024-03-30 11:39:54",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,14.961,G,53.84,102335,USD,NM
"2024-03-29 01:36:46",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.68,G,63.63,102198,USD,NM
"2024-03-28 02:46:44",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.243,G,80.05,102035,USD,NM
"2024-03-27 11:35:28",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.248,G,71.78,101866,USD,NM
"2024-03-22 03:54:19",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.29,G,21.13,1,USD,NM
"2024-03-15 22:29:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,26.454,G,105.79,150978,USD,NM
"2024-03-15 10:44:39",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,13.261,G,51.17,150817,USD,NM
"2024-03-14 16:20:19",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Artesia,12.557,G,43.94,150712,USD,NM
"2024-03-14 04:35:08",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,14.961,G,57.73,150580,USD,NM
"2024-03-13 03:05:07",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,1.908,G,6.49,1,USD,NM
"2024-03-13 03:00:50",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,24.357,G,93.99,150426,USD,NM
"2024-03-12 11:12:01",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.692,G,76.39,150239,USD,NM
"2024-03-07 11:53:44",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.012,G,76.09,150059,USD,NM
"2024-03-05 11:21:21",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,11.053,G,43.1,149741,USD,NM
"2024-03-04 01:58:15",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,4.174,G,15.31,728,USD,NM
"2024-03-03 23:09:27",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,28.917,G,112.75,149569,USD,NM
"2024-03-03 11:34:34",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.854,G,79.79,149403,USD,NM
"2024-03-02 11:26:27",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.814,G,69.46,142936,USD,NM
"2024-03-01 11:19:55",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.484,G,72.07,149074,USD,NM
"2024-02-28 13:09:39",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Loving,22.612,G,90.43,148914,USD,NM
"2024-02-20 03:39:06",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,4.764,G,14.29,1,USD,NM
"2024-02-20 03:33:24",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,24.952,G,111.01,148715,USD,NM
"2024-02-19 03:10:59",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.331,G,77.49,148522,USD,NM
"2024-02-13 02:26:53",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.214,G,80.84,148341,USD,NM
"2024-02-13 02:23:56",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,5.316,G,16.47,148341,USD,NM
"2024-02-09 17:42:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,27.806,G,111.2,1,USD,NM
"2024-02-08 11:37:02",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,23.685,G,103.07,147935,USD,NM
"2024-02-07 11:39:30",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.983,G,31.13,147762,USD,NM
"2024-02-05 23:33:26",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,46.945,G,187.73,145871,USD,NM
"2024-02-01 11:37:25",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,8.138,G,36.24,147037,USD,NM
"2024-01-31 01:29:27",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.829,G,24.26,1,USD,NM
"2024-01-31 01:12:01",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,25.843,G,103.35,146862,USD,NM
